model,num_frames,params_M,flops_GF,latency_avg_ms,latency_p50_ms,latency_p95_ms,peak_mem_MB,SpeedUp
Local Factorized,8, ,161.149997056,5.805618460290134,5.737688043154776,5.776557954959571,1364.83740234375,0.8792742698169932
Local Factorized,16,230.204432,317.662138368,5.837270068004727,5.831041024066508,5.852243979461491,1377.89990234375,0.9111213235861626
Local Factorized,32,230.220816,631.290400768,5.929192621260881,5.925254547037184,5.977697088383138,1406.02490234375,2.6057374800832007
Local Factorized,64,230.253584,1260.962844672,8.080111497547477,8.05231201229617,8.067329064942896,1462.27490234375,5.226896534399798
Local Factorized,128,230.31912,2529.971408896,15.453495339024812,15.424262965098023,15.482555027119815,1576.02490234375,8.607413430363424
Full 3D,8,230.19624,167.80955648,5.104730932507664,5.070668528787792,5.209950963035226,1382.09912109375,1.0
Full 3D,16,230.204432,361.2309504,5.318461230490357,5.220039980486035,5.334507906809449,1461.16162109375,1.0
Full 3D,32,230.220816,825.383149568,15.449919439852238,15.409027982968835,15.477836946956812,1765.28662109375,1.0
Full 3D,64,230.253584,2062.925193216,42.23390678409487,42.18072054209188,42.31383604928851,2949.53662109375,1.0
Full 3D,128,230.31912,5774.95986176,133.01462332718074,132.9658380127512,133.19388695526868,7622.03662109375,1.0
MatrixDiT-G,8,231.462672,160.97478656,8.02969321841374,7.996156462468207,8.143924991600215,1369.81787109375,0.6357317513453022
MatrixDiT-G,16,231.470864,312.20803584,8.126109873410314,8.08570155641064,8.260076050646603,1384.88037109375,0.6544904404865423
MatrixDiT-G,32,231.487248,615.283232768,8.20806382689625,8.180752512998879,8.318865089677274,1415.00537109375,1.8822854896943926
MatrixDiT-G,64,231.520016,1223.868420096,8.973330617882311,8.94090044312179,9.019759017974138,1475.25537109375,4.706603220428536
MatrixDiT-G,128,231.585552,2450.77796864,16.465354934334755,16.43449952825904,16.52303501032293,1595.75537109375,8.078454661782539
MatrixDiT-G,8,232.347408,175.57096448,8.224037277977914,8.191190019715577,8.321600966155529,1375.41552734375,0.6207086325079001
MatrixDiT-G,16,232.3556,341.601718272,8.192521356977522,8.094451448414475,8.25772702228278,1392.52099609375,0.6491849088633324
MatrixDiT-G,32,232.371984,674.875904,8.29602135811001,8.213315973989666,8.329393924213946,1426.75537109375,1.8623287926746634
MatrixDiT-G,64,232.404752,1346.274988032,10.076461860444397,10.04279451444745,10.106900008395314,1495.31787109375,4.191342890889705
MatrixDiT-G,128,232.470288,2708.4760064,18.682712628506124,18.646440526936203,18.756987061351538,1632.81787109375,7.1196632936604045
MatrixDiT-G,8,231.020304,153.6766976,8.006443940103054,7.979252957738936,8.166179992258549,1368.03662109375,0.6375778024172313
MatrixDiT-G,16,231.028496,297.511194624,7.961059375666081,7.936949492432177,8.04549502208829,1383.09912109375,0.6680594854934586
MatrixDiT-G,32,231.04488,585.486897152,8.117117353249341,8.094229968264699,8.166891988366842,1413.22412109375,1.903375147541451
MatrixDiT-G,64,231.077648,1162.665136128,8.560879388824105,8.535366039723158,8.582502021454275,1473.47412109375,4.933360799269009
MatrixDiT-G,128,231.143184,2321.92894976,15.358992859255522,15.322356019169092,15.400207019411027,1593.97412109375,8.660374058773291
MatrixDiT-G,8,231.658512,164.1952256,7.959105574991554,7.940171519294381,8.007016032934189,1370.57958984375,0.6413699233425586
MatrixDiT-G,16,231.666704,318.67250688,8.079443883616477,8.059537503868341,8.151217014528811,1385.64208984375,0.6582707061404498
MatrixDiT-G,32,231.683088,628.306546688,8.134275069460273,8.10880702920258,8.190573076717556,1415.76708984375,1.899360337328422
MatrixDiT-G,64,231.715856,1250.292535296,9.239222828764468,9.209726005792618,9.248615009710193,1476.01708984375,4.571153609652975
MatrixDiT-G,128,231.781392,2505.13614848,16.9928143825382,16.96565852034837,16.981456894427538,1596.51708984375,7.82769824543405
MatrixDiT-G,8,232.543248,178.79140352,8.038040231913328,8.023267495445907,8.11496505048126,1376.70458984375,0.635071582777157
MatrixDiT-G,16,232.55144,348.066189312,8.022254202514887,7.999739493243396,8.068191003985703,1394.45458984375,0.6629634384837966
MatrixDiT-G,32,232.567824,687.89921792,8.2051009288989,8.190652006305754,8.245090022683144,1430.32958984375,1.8829651912551877
MatrixDiT-G,64,232.600592,1372.699103232,10.357649396173656,10.327771014999598,10.360131040215492,1503.57958984375,4.077557095116292
MatrixDiT-G,128,232.666128,2762.83418624,19.299219180829823,19.26827005809173,19.319492974318564,1656.07958984375,6.892228233736315
MatrixDiT-G,8,231.216144,156.89713664,7.955123181454837,7.9307579435408115,8.033542078919709,1368.79833984375,0.6416909978726575
MatrixDiT-G,16,231.224336,303.975665664,7.9344607074745,7.910683518275618,7.996213040314615,1383.86083984375,0.6702990192490595
MatrixDiT-G,32,231.24072,598.510211072,8.066968829371035,8.042460482101887,8.117252960801125,1413.98583984375,1.9152075292023703
MatrixDiT-G,64,231.273488,1189.089251328,8.777222484350204,8.753477537538856,8.789545972831547,1474.23583984375,4.811762133111923
MatrixDiT-G,128,231.339024,2376.2871296,15.88352916063741,15.854870493058115,15.871537034399807,1594.73583984375,8.374374610449786
MatrixDiT-G,8,231.475728,161.189482496,8.06153827579692,8.031569013837725,8.237075060606003,1369.86474609375,0.6332204546908311
MatrixDiT-G,16,231.48392,312.639000576,8.155033059883863,8.131661510560662,8.237599045969546,1384.92724609375,0.6521691808526031
MatrixDiT-G,32,231.500304,616.151453696,8.194851630833,8.16879898775369,8.272625971585512,1415.05224609375,1.8853202151607187
MatrixDiT-G,64,231.533072,1225.630027776,9.145319471135736,9.119666006881744,9.178851032629607,1475.30224609375,4.618089823695349
MatrixDiT-G,128,231.598608,2454.401847296,16.772841142956167,16.730164061300457,16.843731980770826,1595.80224609375,7.93035730759549
MatrixDiT-G,8,232.360464,175.785660416,8.153261828701943,8.138954464811832,8.224271005019546,1375.49755859375,0.6260967744881527
MatrixDiT-G,16,232.368656,342.032683008,8.297142116352916,8.232142427004874,8.37438099551946,1392.64599609375,0.6409991724750804
MatrixDiT-G,32,232.38504,675.744124928,8.34064812399447,8.29755503218621,8.469589985907078,1426.98974609375,1.85236437386751
MatrixDiT-G,64,232.417808,1348.036595712,10.269990402739497,10.227581020444632,10.309920995496212,1495.86474609375,4.112360881352827
MatrixDiT-G,128,232.483344,2712.099885056,18.989670786540955,18.89814052265137,19.01038899086416,1634.36474609375,7.004577637093933
MatrixDiT-G,8,231.03336,153.891393536,8.06804213207215,8.040027983952314,8.183895028196275,1368.08349609375,0.6327099993956766
MatrixDiT-G,16,231.041552,297.94215936,8.003480788320303,7.978966052178293,8.069069008342922,1383.14599609375,0.6645185227722082
MatrixDiT-G,32,231.057936,586.35511808,8.23963834438473,8.215736539568752,8.303819107823074,1413.27099609375,1.8750725206745604
MatrixDiT-G,64,231.090704,1164.426743808,8.759600676130503,8.671080053318292,8.70825001038611,1473.52099609375,4.821442020659716
MatrixDiT-G,128,231.15624,2325.552828416,15.638282287400214,15.594436961691828,15.71947697084397,1594.02099609375,8.50570547855827
MatrixDiT-G,8,231.867408,167.630360576,7.973004614468664,7.944906479679048,8.03174008615315,1371.39990234375,0.6402518472451496
MatrixDiT-G,16,231.8756,325.567942656,8.033282114192843,7.953818480018526,8.079629973508418,1386.46240234375,0.6620533369659628
MatrixDiT-G,32,231.891984,642.198081536,8.10785711510107,8.085892477538437,8.15889099612832,1416.58740234375,1.9055490520517941
MatrixDiT-G,64,231.924752,1278.478258176,9.399462139699608,9.366471960674971,9.396924055181444,1476.83740234375,4.493225905524484
MatrixDiT-G,128,231.990288,2563.118206976,17.488033950794488,17.459817056078464,17.47516100294888,1597.33740234375,7.606036430478101
MatrixDiT-G,8,232.752144,182.226538496,7.967486304696649,7.948450976982713,8.02050402853638,1378.08740234375,0.6406952879854394
MatrixDiT-G,16,232.760336,354.961625088,8.06191218784079,8.042709552682936,8.114434080198407,1396.52490234375,0.6597022029726167
MatrixDiT-G,32,232.77672,701.790752768,8.227582077961415,8.2010134938173,8.275353000499308,1434.14990234375,1.877820153412597
MatrixDiT-G,64,232.809488,1400.884826112,10.65315858228132,10.554322507232428,10.577009990811348,1512.39990234375,3.9644492718187525
MatrixDiT-G,128,232.875024,2820.816244736,19.787905323319137,19.71143903210759,19.74432601127773,1680.89990234375,6.722016360692262
MatrixDiT-G,8,231.42504,160.332271616,8.004252971149981,7.925560465082526,7.99158401787281,1369.61865234375,0.6377523237842221
MatrixDiT-G,16,231.433232,310.87110144,7.815462555736303,7.741384499240667,7.8068539733067155,1384.68115234375,0.6805049851575034
MatrixDiT-G,32,231.449616,612.40174592,8.043381525203586,7.9681905335746706,8.066559908911586,1414.80615234375,1.920823896198457
MatrixDiT-G,64,231.482384,1217.274974208,8.994873815681785,8.93194496165961,8.971997071057558,1475.05615234375,4.6953306571642734
MatrixDiT-G,128,231.54792,2434.269188096,16.350177058484405,16.321988543495536,16.343605937436223,1595.55615234375,8.135362868022094
MatrixDiT-G,8,231.50184,161.618874368,8.08880589902401,8.066060021519661,8.194708963856101,1369.96435546875,0.631085848298523
MatrixDiT-G,16,231.510032,313.500930048,8.177303350530565,8.153316506650299,8.260063012130558,1385.02685546875,0.650393045544199
MatrixDiT-G,32,231.526416,617.887895552,8.240608822088689,8.222042524721473,8.275371044874191,1415.15185546875,1.8748516976608842
MatrixDiT-G,64,231.559184,1229.153243136,9.164564602542669,9.13952651899308,9.181739063933492,1475.40185546875,4.608392063969657
