model,n_frames,steps,fvd
Local Factorized,16,40000,3047.71
Local Factorized,16,80000,1221.41
Local Factorized,16,120000,344.67
Local Factorized,16,160000,173.28
Local Factorized,16,200000,121.41
Local Factorized,16,240000,102.00
Local Factorized,16,280000,101.86
Local Factorized,16,320000,95.69
Local Factorized,16,360000,93.66
Local Factorized,16,400000,92.04
Local Factorized,16,440000,90.01
Local Factorized,16,480000,84.33
Local Factorized,16,520000,82.69
Local Factorized,16,560000,83.12
Local Factorized,16,600000,80.54
Local Factorized,16,640000,80.57
Local Factorized,16,680000,78.09
Local Factorized,16,720000,76.89
Local Factorized,16,760000,75.33
Local Factorized,16,800000,75.30
Full 3D,16,40000,2689.87
Full 3D,16,80000,1540.43
Full 3D,16,120000,295.12
Full 3D,16,160000,149.87
Full 3D,16,200000,112.45
Full 3D,16,240000,100.29
Full 3D,16,280000,98.45
Full 3D,16,320000,95.87
Full 3D,16,360000,92.96
Full 3D,16,400000,90.47
Full 3D,16,440000,86.31
Full 3D,16,480000,87.59
Full 3D,16,520000,84.70
Full 3D,16,560000,82.27
Full 3D,16,600000,79.50
Full 3D,16,640000,78.92
Full 3D,16,680000,76.96
Full 3D,16,720000,74.53
Full 3D,16,760000,73.83
Full 3D,16,800000,71.7
FrameDiT-G,16,40000,3116
FrameDiT-G,16,80000,1250.45
FrameDiT-G,16,120000,254.12
FrameDiT-G,16,160000,173.45
FrameDiT-G,16,200000,121.78
FrameDiT-G,16,240000,102.34
FrameDiT-G,16,280000,98.12
FrameDiT-G,16,320000,95.12
FrameDiT-G,16,360000,90.94
FrameDiT-G,16,400000,89.12
FrameDiT-G,16,440000,87.76
FrameDiT-G,16,480000,83.12
FrameDiT-G,16,520000,80.58
FrameDiT-G,16,560000,79.01
FrameDiT-G,16,600000,77.08
FrameDiT-G,16,640000,75.53
FrameDiT-G,16,680000,72.23
FrameDiT-G,16,720000,70.77
FrameDiT-G,16,760000,68.12
FrameDiT-G,16,800000,66.14
FrameDiT-H,16,40000,3799
FrameDiT-H,16,80000,1134
FrameDiT-H,16,120000,306
FrameDiT-H,16,160000,146
FrameDiT-H,16,200000,116
FrameDiT-H,16,240000,90
FrameDiT-H,16,280000,88
FrameDiT-H,16,320000,83
