model,token_size,params_M,flops_GF,latency_avg_ms,latency_p50_ms,latency_p95_ms,peak_mem_MB
DiT3D-M/2,16,230.15528,58.541735936,5.003439448773861,4.966110922396183,5.0514088943600655,2289.97265625
DiT3D-M/2,64,230.204432,234.163011584,5.230773855000734,5.216204095631838,5.26716373860836,1473.22802734375
DiT3D-M/2,256,230.40104,936.648114176,43.473732471466064,43.44360902905464,43.51102188229561,2998.16552734375
DiT3D-M/2,512,230.634512,1770.849173504,122.87571892142296,122.85065045580268,122.94475454837084,7980.87353515625
DiT3D-M/2,1024,231.187472,3746.588524544,486.1362856067717,486.1205858178437,486.35036312043667,27255.77734375
FusedMatLatte-M/64-256/2-concat,16,270.453776,61.77554432,9.761600531637669,9.722775779664516,9.79757308959961,3174.92041015625
FusedMatLatte-M/64-256/2-concat,64,270.98216,247.09824512,9.758961461484432,9.734970983117819,9.824786335229874,3195.83447265625
FusedMatLatte-M/64-256/2-concat,256,273.095696,988.38904832,12.755801975727081,12.722124811261892,12.739470228552818,1794.95458984375
FusedMatLatte-M/64-256/2-concat,512,275.60552,1868.67187712,23.718841075897217,23.665645625442266,23.7197270616889,2156.060546875
FusedMatLatte-M/64-256/2-concat,1024,281.54984,3953.55226112,52.053356654942036,52.01949318870902,52.06158850342035,3609.57958984375
MatLatte-M/64-256/2,16,232.649744,52.099284992,8.284007851034403,8.26644990593195,8.335097692906857,1396.10302734375
MatLatte-M/64-256/2,64,233.178128,208.393207808,8.094499818980694,8.068608120083809,8.158203214406967,2193.78515625
MatLatte-M/64-256/2,256,235.291664,833.568899072,10.771877765655518,10.749634820967913,10.77074185013771,2360.44140625
MatLatte-M/64-256/2,512,237.801488,1575.965032448,20.116887781769037,20.08752152323723,20.112406462430954,1940.451171875
MatLatte-M/64-256/2,1024,243.745808,3334.271664128,45.03133615478873,45.00342672690749,45.04100698977709,4175.06640625
Latte-M/2,16,230.15528,39.919026176,5.609432049095631,5.595451220870018,5.6425100192427635,1356.18115234375
Latte-M/2,64,230.204432,157.75956992,5.77802887186408,5.762932356446981,5.8373501524329185,1377.97802734375
Latte-M/2,256,230.40104,629.121744896,8.965431321412325,8.901012130081654,8.923507295548916,2388.21484375
Latte-M/2,512,230.634512,1188.86432768,17.448736391961575,17.422167118638754,17.44026504456997,1816.82421875
Latte-M/2,1024,231.187472,2514.5704448,40.02685058861971,39.98803114518523,40.072789415717125,3146.10302734375
